id,e_form
perov_0.cif,2.16
perov_1.cif,1.52
perov_2.cif,1.48
perov_3.cif,1.24
perov_4.cif,0.62
perov_5.cif,1.48
perov_6.cif,1.56
perov_7.cif,1.2
perov_8.cif,1.62
perov_9.cif,3.16
perov_10.cif,1.4
perov_11.cif,2.74
perov_12.cif,0.78
perov_13.cif,1.24
perov_14.cif,1.76
perov_15.cif,1.5
perov_16.cif,2.06
perov_17.cif,1.06
perov_18.cif,1.7
perov_19.cif,0.46
perov_20.cif,1.08
perov_21.cif,1.28
perov_22.cif,1.76
perov_23.cif,1.68
perov_24.cif,0.82
perov_25.cif,1.16
perov_26.cif,1.18
perov_27.cif,1.24
perov_28.cif,0.32
perov_29.cif,0.6
perov_30.cif,2.3
perov_31.cif,0.66
perov_32.cif,2.0
perov_33.cif,0.62
perov_34.cif,0.98
perov_35.cif,1.3
perov_36.cif,0.58
perov_37.cif,1.18
perov_38.cif,1.34
perov_39.cif,0.76
perov_40.cif,1.16
perov_41.cif,1.28
perov_42.cif,1.4
perov_43.cif,2.96
perov_44.cif,0.72
perov_45.cif,0.6
perov_46.cif,0.68
perov_47.cif,0.7
perov_48.cif,2.84
perov_49.cif,1.18
perov_50.cif,0.56
perov_51.cif,0.92
perov_52.cif,0.98
perov_53.cif,3.2
perov_54.cif,1.48
perov_55.cif,1.36
perov_56.cif,1.78
perov_57.cif,0.84
perov_58.cif,0.36
perov_59.cif,0.64
perov_60.cif,1.44
perov_61.cif,0.0
perov_62.cif,1.24
perov_63.cif,1.36
perov_64.cif,1.9
perov_65.cif,1.54
perov_66.cif,0.86
perov_67.cif,1.48
perov_68.cif,1.1
perov_69.cif,3.34
perov_70.cif,1.08
perov_71.cif,3.74
perov_72.cif,0.82
perov_73.cif,2.3
perov_74.cif,3.2
perov_75.cif,1.9
perov_76.cif,2.98
perov_77.cif,1.38
perov_78.cif,0.42
perov_79.cif,1.0
perov_80.cif,1.06
perov_81.cif,1.6
perov_82.cif,2.04
perov_83.cif,0.96
perov_84.cif,2.22
perov_85.cif,1.9
perov_86.cif,1.12
perov_87.cif,2.8
perov_88.cif,0.62
perov_89.cif,1.86
perov_90.cif,1.72
perov_91.cif,1.32
perov_92.cif,0.76
perov_93.cif,1.44
perov_94.cif,2.32
perov_95.cif,1.16
perov_96.cif,3.6
perov_97.cif,1.44
perov_98.cif,0.56
