,id,fermi level,fermi width,e_form,gap is direct,mu_b,formula,vbm,cbm,gap gllbsc
0,perov_0.cif,0.312137666029,0.0018374654734000001,2.16,True,0.019744776204762008,RhTeN3,6.187693688343173,6.187693688343173,0.0
1,perov_1.cif,0.297082833101,0.0018374654734000001,1.52,True,-2.2530537238386468e-05,HfTeO3,6.0331250955026325,6.0331250955026325,0.0
2,perov_2.cif,0.191139488818,0.0036749309468000002,1.48,True,4.982109130690463,ReAsO2F,6.602253338088008,6.602253338088008,0.0
3,perov_3.cif,0.316346289463,0.0018374654734000001,1.24,True,-0.8684496470500813,WReO2S,5.738461565864407,5.738461565864407,0.0
4,perov_4.cif,0.312657921484,0.0036749309468000002,0.62,True,2.164068814070805e-15,BiHfO2F,6.074735548760092,6.074735548760092,0.0
5,perov_5.cif,0.2160441597,0.0036749309468000002,1.48,True,1.8522160728533288,YLiOFN,5.592776432508856,5.592776432508856,0.0
6,perov_6.cif,0.199249842122,0.0036749309468000002,1.56,True,0.8511542053886832,BeWO2F,6.621218010048572,6.621218010048572,0.0
7,perov_7.cif,0.370044678439,0.0018374654734000001,1.2,True,0.02663661267544271,ScAsO2N,5.924194927318032,5.924194927318032,0.0
8,perov_8.cif,0.295013683666,0.0018374654734000001,1.62,True,3.6311960132834886,CrTeON2,6.0533504354575465,6.0533504354575465,0.0
9,perov_9.cif,0.11797061488,0.0018374654734000001,3.16,True,-1.091823228111915,ScRbO2S,4.8760542883577855,4.8760542883577855,0.0
10,perov_10.cif,0.185308109116,0.0018374654734000001,1.4,True,-3.2944020521721717,CoHfO2N,5.705181162405852,5.705181162405852,0.0
11,perov_11.cif,0.23713533962699998,0.0018374654734000001,2.74,True,2.28848926965053,FeLiON2,5.4624976786221255,5.4624976786221255,0.0
12,perov_12.cif,0.274060714897,0.0018374654734000001,0.78,True,1.6565021190942917,PbRuO3,5.952637126878617,5.952637126878617,0.0
13,perov_13.cif,0.16158008660999998,0.0018374654734000001,1.24,True,1.740041717590614,AuGaO2S,5.790835467845553,5.790835467845553,0.0
14,perov_14.cif,0.115362012253,0.0036749309468000002,1.76,True,0.0,CsHgOFN,5.791338459660518,5.791338459660518,0.0
15,perov_15.cif,0.30994930957,0.0018374654734000001,1.5,True,-3.3741888865119942,OsWO2N,6.159949897046517,6.159949897046517,0.0
16,perov_16.cif,0.256938263446,0.0018374654734000001,2.06,True,0.7099391976143892,YHgN3,5.770492537520331,5.770492537520331,0.0
17,perov_17.cif,0.232562586658,0.0018374654734000001,1.06,True,-1.2390412926777115e-05,HgTeO3,6.569397716772459,6.569397716772459,0.0
18,perov_18.cif,0.178275881937,0.0018374654734000001,1.7,True,3.5377869484649054,RuMgO3,5.909159900148173,5.909159900148173,0.0
19,perov_19.cif,0.257394883798,0.0036749309468000002,0.46,True,1.0006383081673622,SrVOFN,5.279861405425537,5.279861405425537,0.0
20,perov_20.cif,0.19067911631700002,0.0018374654734000001,1.08,True,0.05354103075394077,VGaON2,5.398377557087059,5.398377557087059,0.0
21,perov_21.cif,0.107765170328,0.0036749309468000002,1.28,True,3.55405060891044,CrCdO2F,6.274765060244949,6.274765060244949,0.0
22,perov_22.cif,0.11064379347100001,0.0036749309468000002,1.76,True,0.0,KAuOFN,6.027736501204988,6.027736501204988,0.0
23,perov_23.cif,0.07851395532439999,0.0036749309468000002,1.68,True,2.7561148460513185,NaBeOFN,6.027874632840418,6.027874632840418,0.0
24,perov_24.cif,0.16396882377699998,0.0018374654734000001,0.82,True,3.4860099549151613,KCoO3,5.364555590273549,5.364555590273549,0.0
25,perov_25.cif,0.207492950808,0.0018374654734000001,1.16,True,-0.3747515234888279,PtSnO2N,6.293461833890643,6.293461833890643,0.0
26,perov_26.cif,0.27903439991900003,0.0018374654734000001,1.18,True,0.9351702650460364,ZrYO2S,5.277818860474676,5.277818860474676,0.0
27,perov_27.cif,0.250518514689,0.0018374654734000001,1.24,True,-0.19785852236010432,ScSbO2S,5.641228722957046,5.641228722957046,0.0
28,perov_28.cif,0.267505585647,0.0018374654734000001,0.32,True,3.1599040937108,FeTaO3,5.893034230745451,5.893034230745451,0.0
29,perov_29.cif,0.318711791247,0.0018374654734000001,0.6,True,6.377316944039536e-05,ScWN3,5.6280827617987335,5.6280827617987335,0.0
