id,band_gap
4069899.cif,1.589
4434387.cif,2.63
4069701.cif,0.721
4070478.cif,0
4069089.cif,1.727
4072341.cif,2.041
4068648.cif,0.801
4068663.cif,0.759
4068963.cif,0.693
4862586.cif,0
4069380.cif,0
4070001.cif,1.69
4070712.cif,0
4071021.cif,0
4434627.cif,1.407
4075785.cif,3.244
4070331.cif,1.887
4071567.cif,2.087
4070511.cif,4.102
4094547.cif,0
4071039.cif,1.201
4071042.cif,2.013
4069659.cif,0
4070352.cif,3.553
4070235.cif,1.719
4070355.cif,3.317
4070328.cif,1.013
4070937.cif,0
4069734.cif,0
4070520.cif,0
4070988.cif,0
4069620.cif,0
4070016.cif,1.685
4069773.cif,1.689
4092510.cif,1.035
4070253.cif,0.704
4070319.cif,0.656
4070724.cif,0
4071279.cif,0
4092876.cif,1.751
4071216.cif,1.748
4092522.cif,1.748
4068870.cif,2.55
4068513.cif,2.548
4068750.cif,3.615
4069194.cif,0
4069506.cif,0
4082799.cif,0.526
4862646.cif,0.77
4862949.cif,0.633
4069266.cif,0
4069140.cif,0
4069143.cif,0
4069071.cif,0
4434441.cif,0
4069227.cif,1.619
4069371.cif,1.906
4069281.cif,1.794
4069317.cif,1.754
4069146.cif,7.853
4069074.cif,1.535
4070115.cif,3.453
4069581.cif,2.277
4069584.cif,1.751
4069836.cif,0
4071492.cif,0
4070448.cif,3.273
4070718.cif,1.478
4070028.cif,0
4070031.cif,0
4070241.cif,1.996
4070055.cif,3.85
4069377.cif,2.714
4070670.cif,1.941
4863612.cif,0
4070607.cif,5.582
4863615.cif,0
4070922.cif,5.284
4070625.cif,1.879
4068924.cif,1.881
4068510.cif,0
4071867.cif,0
4068903.cif,1.181
4068885.cif,3.03
4068762.cif,3.123
4069023.cif,3.713
4070508.cif,1.314
4068894.cif,1.446
4068897.cif,0.451
4069698.cif,0
4073196.cif,2.939
4068900.cif,2.362
4069776.cif,0.721
4071048.cif,4.027
4069035.cif,1.81
4068927.cif,0
4069062.cif,0
4068846.cif,0
4071900.cif,0
4078593.cif,0
4069029.cif,0
4069032.cif,0
4071393.cif,0
4069224.cif,1.617
4069509.cif,2.125
4069230.cif,0
4070181.cif,0
4863624.cif,0
4069515.cif,0
4069755.cif,0
4092507.cif,0
4069578.cif,0
4069710.cif,0
4070208.cif,0
4070457.cif,0
4070148.cif,0
4069830.cif,0
4069662.cif,0
4070364.cif,0
4069767.cif,0
4070673.cif,0
4070637.cif,0
4071006.cif,0
4070706.cif,0
4092546.cif,0
4092504.cif,0
4071192.cif,0
4071012.cif,0
4071411.cif,0
4071066.cif,0
4434978.cif,0
4068960.cif,0
4068618.cif,0
4069308.cif,0
4068783.cif,0
4069611.cif,0
4068834.cif,0
4069185.cif,0
4068723.cif,0
4069260.cif,0
4069092.cif,0
4069116.cif,2.996
4069932.cif,0
4069464.cif,0
4069467.cif,0
4069410.cif,0
4069470.cif,0
4069197.cif,0
4069365.cif,0
4069065.cif,0
4069203.cif,0
4069038.cif,0
4069269.cif,0
4069068.cif,0
4069416.cif,0
4069950.cif,0
4069713.cif,0
4069278.cif,1.599
4070163.cif,2.743
4072509.cif,0
4071108.cif,0
4071345.cif,0
4071234.cif,0
4072536.cif,0
4071543.cif,0
4072545.cif,0
4071405.cif,0
4071390.cif,0
4071276.cif,0
4071381.cif,0
4071360.cif,0
4079751.cif,0
4072593.cif,0
4071384.cif,0
4071420.cif,0
4068639.cif,0
4069575.cif,0.782
4071576.cif,0
4071507.cif,0
4435056.cif,0
4070052.cif,0
4068882.cif,1.848
4071135.cif,2.366
4070010.cif,2.587
4071102.cif,2.205
4071009.cif,1.383
4071045.cif,1.022
4068660.cif,0
4068873.cif,4.663
4068810.cif,2.245
4070022.cif,0
4070814.cif,0.509
4070079.cif,0
4069005.cif,0
4434426.cif,0
4069665.cif,0
4069017.cif,2.206
4070556.cif,4.077
4069119.cif,0.24
4072113.cif,0
4071771.cif,0
4093236.cif,0
4093020.cif,0
4070382.cif,0
