id,formation_energy
4069899.cif,-2.5138
4434387.cif,-1.2339
4069701.cif,-1.4506
4070478.cif,-2.0897
4069089.cif,-2.6928
4072341.cif,-2.6942
4068648.cif,-2.2166
4068663.cif,-2.1832
4068963.cif,-2.148
4862586.cif,-2.2672
4069380.cif,-2.5514
4070001.cif,-3.2839
4070712.cif,-1.3564
4071021.cif,-1.356
4434627.cif,-1.5239
4075785.cif,-2.9189
4070331.cif,-3.351
4071567.cif,-1.5724
4070511.cif,-2.789
4094547.cif,-0.1133
4071039.cif,0.1141
4071042.cif,-0.0294
4069659.cif,-1.1776
4070352.cif,-3.4431
4070235.cif,-2.444
4070355.cif,-3.4742
4070328.cif,-2.4384
4070937.cif,-2.2186
4069734.cif,-2.3233
4070520.cif,-2.7394
4070988.cif,-1.0415
4069620.cif,-1.2024
4070016.cif,-3.2801
4069773.cif,-3.2798
4092510.cif,-1.6866
4070253.cif,-2.8594
4070319.cif,-2.8453
4070724.cif,-2.3775
4071279.cif,-1.0373
4092876.cif,-2.6672
4071216.cif,-2.6658
4092522.cif,-2.6663
4068870.cif,-2.9148
4068513.cif,-2.9164
4068750.cif,-3.5534
4069194.cif,-3.4136
4069506.cif,-2.0919
4082799.cif,-2.4164
4862646.cif,-2.3444
4862949.cif,-2.3368
4069266.cif,-3.0812
4069140.cif,-2.9821
4069143.cif,-2.9725
4069071.cif,-2.9593
4434441.cif,-2.9301
4069227.cif,-2.992
4069371.cif,-2.9864
4069281.cif,-2.9765
4069317.cif,-2.9508
4069146.cif,-3.5355
4069074.cif,-1.952
4070115.cif,-3.3191
4069581.cif,-1.7437
4069584.cif,-1.5014
4069836.cif,-2.0952
4071492.cif,-2.6697
4070448.cif,-3.5166
4070718.cif,-2.4911
4070028.cif,-2.6556
4070031.cif,-2.8588
4070241.cif,-2.3443
4070055.cif,-3.6174
4069377.cif,-2.7598
4070670.cif,-3.2854
4863612.cif,-2.0954
4070607.cif,-2.5691
4863615.cif,-2.1555
4070922.cif,-2.5996
4070625.cif,-3.2932
4068924.cif,-3.2904
4068510.cif,0.731
4071867.cif,-0.4897
4068903.cif,-1.4872
4068885.cif,-3.479
4068762.cif,-3.483
4069023.cif,-3.5534
4070508.cif,-1.3704
4068894.cif,-2.8186
4068897.cif,-2.3854
4069698.cif,-1.2031
4073196.cif,-2.6777
4068900.cif,-2.9187
4069776.cif,-0.8852
4071048.cif,-3.0527
4069035.cif,-3.0812
4068927.cif,-3.0125
4069062.cif,-0.4958
4068846.cif,-0.6083
4071900.cif,-0.5717
4078593.cif,-0.4302
4069029.cif,-0.4645
4069032.cif,-0.8275
4071393.cif,-1.8624
4069224.cif,-2.8146
4069509.cif,-3.265
4069230.cif,-2.5838
4070181.cif,-0.1082
4863624.cif,-0.2363
4069515.cif,-0.3899
4069755.cif,-0.4337
4092507.cif,-0.166
4069578.cif,-0.3349
4069710.cif,-0.4137
4070208.cif,-0.1881
4070457.cif,-0.1527
4070148.cif,0.2046
4069830.cif,-0.2608
4069662.cif,0.0311
4070364.cif,1.4513
4069767.cif,-0.424
4070673.cif,-0.5221
4070637.cif,-0.6395
4071006.cif,-0.6303
4070706.cif,-0.8
4092546.cif,-0.6419
4092504.cif,-0.8182
4071192.cif,-0.6394
4071012.cif,-0.5439
4071411.cif,-0.6142
4071066.cif,-0.7765
4434978.cif,-0.0575
4068960.cif,-0.6363
4068618.cif,-0.8094
4069308.cif,-0.4048
4068783.cif,-0.648
4069611.cif,-0.5628
4068834.cif,-0.7017
4069185.cif,-0.6503
4068723.cif,-0.8346
4069260.cif,-0.5605
4069092.cif,-0.6982
4069116.cif,-3.1373
4069932.cif,-0.5217
4069464.cif,-0.5435
4069467.cif,-0.5876
4069410.cif,-0.4915
4069470.cif,-0.6464
4069197.cif,-0.6614
4069365.cif,-0.6727
4069065.cif,-0.7596
4069203.cif,-0.7381
4069038.cif,-0.6577
4069269.cif,-0.7794
4069068.cif,-0.5801
